client_id,event_type,event_time,session_id,channel,campaign_id,utm_source,utm_medium,page_url,referrer_url,revenue,product_id,product_category
550e8400-e29b-41d4-a716-446655440007,purchase,2023-05-15 12:25:00,sess_034,paid_search,camp_ppc_006,google,cpc,/checkout/success,,89.99,prod_phonecase_001,electronics
550e8400-e29b-41d4-a716-446655440010,page_view,2023-05-15 18:45:00,sess_035,social,camp_ig_004,instagram,social,/products/wellness,https://instagram.com,,,
550e8400-e29b-41d4-a716-446655440010,page_view,2023-05-15 19:00:00,sess_035,social,camp_ig_004,instagram,social,/categories/health,/products/wellness,,,
550e8400-e29b-41d4-a716-446655440004,page_view,2023-05-16 10:30:00,sess_036,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440004,page_view,2023-05-16 10:45:00,sess_036,direct,,direct,none,/products/gifts,/,,,
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-16 14:20:00,sess_037,organic_search,camp_seo_011,google,organic,/categories/books,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440006,page_view,2023-05-16 14:35:00,sess_037,organic_search,camp_seo_011,google,organic,/products/educational,/categories/books,,,
550e8400-e29b-41d4-a716-446655440009,page_view,2023-05-17 09:15:00,sess_038,email,camp_email_007,email,email,/products/furniture-sale,email_campaign,,,
550e8400-e29b-41d4-a716-446655440009,purchase,2023-05-17 09:30:00,sess_038,email,camp_email_007,email,email,/checkout/success,,799.99,prod_sofa_001,home
550e8400-e29b-41d4-a716-446655440014,page_view,2023-05-17 15:40:00,sess_039,social,camp_fb_005,facebook,social,/products/kitchen-tools,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440014,purchase,2023-05-17 15:55:00,sess_039,social,camp_fb_005,facebook,social,/checkout/success,,149.99,prod_blender_001,kitchen
550e8400-e29b-41d4-a716-446655440016,page_view,2023-05-18 11:25:00,sess_040,paid_search,camp_ppc_007,google,cpc,/landing/beauty-deals,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440016,purchase,2023-05-18 11:40:00,sess_040,paid_search,camp_ppc_007,google,cpc,/checkout/success,,79.99,prod_makeup_001,beauty
550e8400-e29b-41d4-a716-446655440018,page_view,2023-05-18 17:10:00,sess_041,organic_search,camp_seo_012,google,organic,/products/camping,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440018,page_view,2023-05-18 17:25:00,sess_041,organic_search,camp_seo_012,google,organic,/categories/outdoor,/products/camping,,,
550e8400-e29b-41d4-a716-446655440020,page_view,2023-05-19 13:50:00,sess_042,email,camp_email_008,email,email,/products/tech-innovations,email_campaign,,,
550e8400-e29b-41d4-a716-446655440020,purchase,2023-05-19 14:05:00,sess_042,email,camp_email_008,email,email,/checkout/success,,549.99,prod_tablet_001,electronics
550e8400-e29b-41d4-a716-446655440011,page_view,2023-05-19 16:30:00,sess_043,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440011,page_view,2023-05-19 16:45:00,sess_043,direct,,direct,none,/products/fashion-trends,/,,,
550e8400-e29b-41d4-a716-446655440012,page_view,2023-05-20 08:40:00,sess_044,social,camp_ig_005,instagram,social,/products/activewear,https://instagram.com,,,
550e8400-e29b-41d4-a716-446655440012,purchase,2023-05-20 08:55:00,sess_044,social,camp_ig_005,instagram,social,/checkout/success,,139.99,prod_sportswear_001,sports
550e8400-e29b-41d4-a716-446655440013,page_view,2023-05-20 14:15:00,sess_045,paid_search,camp_ppc_008,google,cpc,/landing/luxury-collection,https://google.com/ads,,,
550e8400-e29b-41d4-a716-446655440013,purchase,2023-05-20 14:30:00,sess_045,paid_search,camp_ppc_008,google,cpc,/checkout/success,,2999.99,prod_jewelry_001,luxury
550e8400-e29b-41d4-a716-446655440015,page_view,2023-05-21 10:20:00,sess_046,organic_search,camp_seo_013,google,organic,/categories/interior,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440015,page_view,2023-05-21 10:35:00,sess_046,organic_search,camp_seo_013,google,organic,/products/wall-art,/categories/interior,,,
550e8400-e29b-41d4-a716-446655440017,page_view,2023-05-21 18:50:00,sess_047,direct,,direct,none,/,,,,
550e8400-e29b-41d4-a716-446655440017,page_view,2023-05-21 19:05:00,sess_047,direct,,direct,none,/products/professional,/,,,
550e8400-e29b-41d4-a716-446655440019,page_view,2023-05-22 12:30:00,sess_048,social,camp_fb_006,facebook,social,/products/travel-gear,https://facebook.com,,,
550e8400-e29b-41d4-a716-446655440019,page_view,2023-05-22 12:45:00,sess_048,social,camp_fb_006,facebook,social,/categories/adventure,/products/travel-gear,,,
550e8400-e29b-41d4-a716-446655440001,page_view,2023-06-05 14:20:00,sess_049,organic_search,camp_seo_014,google,organic,/products/summer,https://google.com/search,,,
550e8400-e29b-41d4-a716-446655440001,purchase,2023-06-05 14:35:00,sess_049,organic_search,camp_seo_014,google,organic,/checkout/success,,89.99,prod_swimwear_001,clothing
550e8400-e29b-41d4-a716-446655440008,page_view,2023-04-01 16:10:00,sess_050,email,camp_email_009,email,email,/products/early-access,email_campaign,,,
550e8400-e29b-41d4-a716-446655440008,purchase,2023-04-01 16:25:00,sess_050,email,camp_email_009,email,email,/checkout/success,,299.99,prod_speaker_001,electronics
